	Description	KEGG Ontology
6666666.754255.peg.1875	ABC-type anion transport system%2C duplicated permease component	
6666666.754255.peg.1876	Mobile element protein	
6666666.754255.peg.1877	Rod shape-determining protein RodA	
6666666.754255.peg.1878	hypothetical protein	
6666666.754255.peg.1879	FIG00906256: hypothetical protein	
6666666.754255.peg.1880	Lysin	
6666666.754255.peg.1881	hypothetical protein	
6666666.754255.peg.1882	prophage Lp2 protein 52	
6666666.754255.peg.1883	prophage Lp2 protein 51	
6666666.754255.peg.1884	Phage tail fiber	
6666666.754255.peg.1885	Protein of unknown function DUF1306	
6666666.754255.peg.1886	phage tape measure protein	
6666666.754255.peg.1887	prophage Lp1 protein 49	
6666666.754255.peg.1888	prophage Lp1 protein 48	
6666666.754255.peg.1889	prophage Lp1 protein 47	
6666666.754255.peg.1890	prophage Lp1 protein 46	
6666666.754255.peg.1891	prophage Lp1 protein 45	
6666666.754255.peg.1892	prophage Lp2 protein 42	
6666666.754255.peg.1893	prophage Lp1 protein 43	
6666666.754255.peg.1894	prophage Lp2 protein 40	
6666666.754255.peg.1895	Phage capsid and scaffold	
6666666.754255.peg.1896	prophage Lp1 protein 40	
6666666.754255.peg.1897	Phage portal protein	
6666666.754255.peg.1898	Phage terminase%2C large subunit	
6666666.754255.peg.1899	phage terminase%2C small subunit	
6666666.754255.peg.1900	conserved hypothetical protein protein	
6666666.754255.peg.1901	Phage protein (ACLAME 203)	
6666666.754255.peg.1902	hypothetical protein	
6666666.754255.peg.1903	hypothetical protein	
6666666.754255.peg.1904	prophage Lp2 protein 32	
6666666.754255.peg.1905	hypothetical protein	
6666666.754255.peg.1906	hypothetical protein	
6666666.754255.peg.1907	hypothetical protein	
6666666.754255.peg.1908	hypothetical protein	
6666666.754255.peg.1909	hypothetical protein	
6666666.754255.peg.1910	Phage transcriptional activator RinA	
6666666.754255.peg.1911	prophage Lp1 protein 32	
6666666.754255.peg.1912	prophage Lp1 protein 31	
6666666.754255.peg.1913	hypothetical protein	
6666666.754255.peg.1914	prophage Lp2 protein 25	
6666666.754255.peg.1915	hypothetical protein	
6666666.754255.peg.1916	hypothetical protein	
6666666.754255.peg.1917	hypothetical protein	
6666666.754255.peg.1918	DNA replication protein	
6666666.754255.peg.1919	Phage DNA replication protein O	
6666666.754255.peg.1920	Phage protein	
6666666.754255.peg.1921	Phage protein	
6666666.754255.peg.1922	NTP-binding protein	
6666666.754255.peg.1923	Phage protein	
6666666.754255.peg.1924	hypothetical protein	
6666666.754255.peg.1925	hypothetical protein	
6666666.754255.peg.1926	hypothetical protein	
6666666.754255.peg.1927	FIG00745688: hypothetical protein	
6666666.754255.peg.1928	putative antirepressor protein	
6666666.754255.peg.1929	hypothetical protein	
6666666.754255.peg.1930	putative transcriptional regulator	
6666666.754255.peg.1931	hypothetical protein	
6666666.754255.peg.1932	Hypothetical SAR0365 homolog in superantigen-encoding pathogenicity islands SaPI	
6666666.754255.peg.1933	hypothetical protein	
6666666.754255.peg.1934	hypothetical protein	
6666666.754255.peg.1935	Phage integrase	
6666666.754255.peg.1936	hypothetical protein	
6666666.754255.peg.1937	FIG00751218: hypothetical protein	
6666666.754255.peg.1938	SAM-dependent methyltransferase	
6666666.754255.peg.1939	UPF0145 protein	
6666666.754255.peg.1940	putative membrane protein	
6666666.754255.peg.1941	FIG00746873: hypothetical protein	
6666666.754255.peg.1942	Adenine phosphoribosyltransferase (EC 2.4.2.7)	KEGG_ENZYME:2.4.2.7
6666666.754255.peg.1943	Single-stranded-DNA-specific exonuclease RecJ	
6666666.754255.peg.1944	FIG00744981: hypothetical protein	
6666666.754255.peg.1945	Short-chain dehydrogenase/reductase SDR	
6666666.754255.peg.1946	Ribonuclease Z (EC 3.1.26.11)	KEGG_ENZYME:3.1.26.11
6666666.754255.peg.1947	hypothetical protein	
6666666.754255.peg.1948	FIG00747544: hypothetical protein	
6666666.754255.peg.1949	GTP-binding protein Obg	
6666666.754255.peg.1950	Transcriptional repressor of the fructose operon%2C DeoR family	
6666666.754255.peg.1951	1-phosphofructokinase (EC 2.7.1.56)	KEGG_ENZYME:2.7.1.56
6666666.754255.peg.1952	PTS system%2C fructose-specific IIA component (EC 2.7.1.202) / PTS system%2C fructose-specific IIB component (EC 2.7.1.202) / PTS system%2C fructose-specific IIC component	KEGG_ENZYME:2.7.1.202,KEGG_ENZYME:2.7.1.202
6666666.754255.peg.1953	Serine/threonine protein phosphatase family protein	
6666666.754255.peg.1954	Serine/threonine protein phosphatase family protein	
6666666.754255.peg.1955	FIG00750554: hypothetical protein	
6666666.754255.peg.1956	glycosyltransferase	
6666666.754255.peg.1957	FIG00748679: hypothetical protein	
6666666.754255.peg.1958	glycosyltransferase	
6666666.754255.peg.1959	glycosyltransferase	
6666666.754255.peg.1960	Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-)	KEGG_ENZYME:2.4.1.-
6666666.754255.peg.1961	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	KEGG_ENZYME:2.7.8.6
6666666.754255.peg.1962	UDP-glucose 4-epimerase (EC 5.1.3.2)	KEGG_ENZYME:5.1.3.2
6666666.754255.peg.1963	Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48)	KEGG_ENZYME:3.1.3.48
6666666.754255.peg.1964	Tyrosine-protein kinase (EC 2.7.10.2)	KEGG_ENZYME:2.7.10.2
6666666.754255.peg.1965	Tyrosine-protein kinase transmembrane modulator EpsC	
6666666.754255.peg.1966	Excinuclease ABC subunit C	
6666666.754255.peg.1967	ABC transporter%2C ATP-binding protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.1968	ABC transporter%2C substrate-binding protein (cluster 3%2C basic aa/glutamine/opines) / ABC transporter%2C permease protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.1969	hypothetical protein	
6666666.754255.peg.1970	hypothetical protein	
6666666.754255.peg.1971	FIG00743467: hypothetical protein	
6666666.754255.peg.1972	GTP-binding protein EngB	
6666666.754255.peg.1973	ATP-dependent Clp protease ATP-binding subunit ClpX	
6666666.754255.peg.1974	Cell division trigger factor (EC 5.2.1.8)	KEGG_ENZYME:5.2.1.8
6666666.754255.peg.1975	Translation elongation factor Tu	
6666666.754255.peg.1976	FIG00742723: hypothetical protein	
6666666.754255.peg.1977	Ribonuclease J2 (endoribonuclease in RNA processing)	
6666666.754255.peg.1978	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	KEGG_ENZYME:4.3.3.7
6666666.754255.peg.1979	multidrug transport protein	
6666666.754255.peg.1980	Multidrug-efflux transporter%2C major facilitator superfamily (MFS)	
6666666.754255.peg.1981	SSU ribosomal protein S15p (S13e)	
6666666.754255.peg.1982	SSU ribosomal protein S20p	
6666666.754255.peg.1983	DNA polymerase III delta subunit (EC 2.7.7.7)	KEGG_ENZYME:2.7.7.7
6666666.754255.peg.1984	DNA internalization-related competence protein ComEC/Rec2	
6666666.754255.peg.1985	dCMP deaminase (EC 3.5.4.12) @ Late competence protein ComEB	KEGG_ENZYME:3.5.4.12
6666666.754255.peg.1986	Late competence protein ComEA%2C DNA receptor	
6666666.754255.peg.1987	Lon-like protease with PDZ domain	
6666666.754255.peg.1988	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	KEGG_ENZYME:2.7.7.3
6666666.754255.peg.1989	16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	KEGG_ENZYME:2.1.1.171
6666666.754255.peg.1990	hypothetical Cytosolic Protein	
6666666.754255.peg.1991	Pyruvate carboxylase (EC 6.4.1.1)	KEGG_ENZYME:6.4.1.1
6666666.754255.peg.1992	FtsW-like protein YlaO	
6666666.754255.peg.1993	hypothetical protein	
6666666.754255.peg.1994	Integral membrane protein	
6666666.754255.peg.1995	FIG00749737: hypothetical protein	
6666666.754255.peg.1996	Glycosyltransferase	
6666666.754255.peg.1997	putative membrane protein	
6666666.754255.peg.1998	Mobile element protein	
6666666.754255.peg.1999	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.2000	Extracellular protein	
6666666.754255.peg.2001	Mobile element protein	
6666666.754255.peg.2002	GTP-binding protein TypA/BipA	
6666666.754255.peg.2003	Inositol-1-monophosphatase (EC 3.1.3.25)	KEGG_ENZYME:3.1.3.25
6666666.754255.peg.2004	FIG006438: hypothetical protein	
6666666.754255.peg.2005	L-lactate dehydrogenase (EC 1.1.1.27)	KEGG_ENZYME:1.1.1.27
6666666.754255.peg.2006	Mobile element protein	
6666666.754255.peg.2007	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	KEGG_ENZYME:1.8.1.4
6666666.754255.peg.2008	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	KEGG_ENZYME:2.3.1.12
6666666.754255.peg.2009	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	KEGG_ENZYME:1.2.4.1
6666666.754255.peg.2010	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	KEGG_ENZYME:1.2.4.1
6666666.754255.peg.2011	Peptide deformylase (EC 3.5.1.88)	KEGG_ENZYME:3.5.1.88
6666666.754255.peg.2012	FIG00745386: hypothetical protein	
6666666.754255.peg.2013	Protein of unknown function DUF1447	
6666666.754255.peg.2014	Ribonuclease J1 (endonuclease and 5' exonuclease)	
6666666.754255.peg.2015	Transcription regulator [contains diacylglycerol kinase catalytic domain]	
6666666.754255.peg.2016	FIG00743162: hypothetical protein	
6666666.754255.peg.2017	FIG00753378: hypothetical protein	
6666666.754255.peg.2018	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	KEGG_ENZYME:2.7.6.1
6666666.754255.peg.2019	RecD-like DNA helicase YrrC	
6666666.754255.peg.2020	FIG00742458: hypothetical protein	
6666666.754255.peg.2021	Phosphoglycerate mutase family 5	
6666666.754255.peg.2022	putative LacI-family transcriptional regulator	
6666666.754255.peg.2023	extracellular protein	
6666666.754255.peg.2024	extracellular protein	
6666666.754255.peg.2025	cell surface protein precursor	
6666666.754255.peg.2026	FIG00752282: hypothetical protein	
6666666.754255.peg.2027	KtrAB potassium uptake system%2C peripheral membrane component KtrA	
6666666.754255.peg.2028	KtrAB potassium uptake system%2C integral membrane component KtrB	
6666666.754255.peg.2029	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	KEGG_ENZYME:2.8.1.13
6666666.754255.peg.2030	FIG00743560: hypothetical protein	
6666666.754255.peg.2031	Cysteine desulfurase (EC 2.8.1.7)	KEGG_ENZYME:2.8.1.7
6666666.754255.peg.2032	5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	KEGG_ENZYME:3.2.2.16,KEGG_ENZYME:3.2.2.9
6666666.754255.peg.2033	FIG01269953: hypothetical protein	
6666666.754255.peg.2034	ADP-ribose pyrophosphatase (EC 3.6.1.13)	KEGG_ENZYME:3.6.1.13
6666666.754255.peg.2035	Diaminopimelate epimerase (EC 5.1.1.7)	KEGG_ENZYME:5.1.1.7
6666666.754255.peg.2036	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	KEGG_ENZYME:6.1.1.5
6666666.754255.peg.2037	Cell division initiation protein DivIVA	
6666666.754255.peg.2038	Putative RNA-binding protein YlmH	
6666666.754255.peg.2039	Cell division integral membrane protein%2C YggT and half-length relatives	
6666666.754255.peg.2040	SepF%2C FtsZ-interacting protein related to cell division	
6666666.754255.peg.2041	Cell division protein FtsZ	
6666666.754255.peg.2042	Cell division protein FtsA	
6666666.754255.peg.2043	Cell division protein FtsQ	
6666666.754255.peg.2044	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	KEGG_ENZYME:2.4.1.227
6666666.754255.peg.2045	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)	KEGG_ENZYME:6.3.2.9
6666666.754255.peg.2046	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	KEGG_ENZYME:2.7.8.13
6666666.754255.peg.2047	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	KEGG_ENZYME:2.4.1.129
6666666.754255.peg.2048	Cell division protein FtsL	
6666666.754255.peg.2049	16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)	KEGG_ENZYME:2.1.1.199
6666666.754255.peg.2050	Transcriptional regulator MraZ	
6666666.754255.peg.2051	FIG00744627: hypothetical protein	
6666666.754255.peg.2052	Magnesium and cobalt transport protein CorA	
6666666.754255.peg.2053	FIG00742263: hypothetical protein	
6666666.754255.peg.2054	DNA translocase FtsK	
6666666.754255.peg.2055	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	KEGG_ENZYME:2.1.1.207
6666666.754255.peg.2056	Rrf2-linked NADH-flavin reductase	
6666666.754255.peg.2057	Na(+)-dependent branched-chain amino acid transporter	
6666666.754255.peg.2058	23S rRNA (guanine(748)-N(1))-methyltransferase (EC 2.1.1.188)	KEGG_ENZYME:2.1.1.188
6666666.754255.peg.2059	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e)%2C zinc-independent	
6666666.754255.peg.2060	UPF0118 membrane protein YubA	
6666666.754255.peg.2061	PTS system%2C glucitol/sorbitol-specific IIA component (EC 2.7.1.69)	KEGG_ENZYME:2.7.1.69
6666666.754255.peg.2062	6-phosphogluconolactonase (EC 3.1.1.31)	KEGG_ENZYME:3.1.1.31
6666666.754255.peg.2063	Cytoplasmic copper homeostasis protein CutC	
6666666.754255.peg.2064	Similar to ribosomal large subunit pseudouridine synthase D%2C Bacillus subtilis YjbO type	
6666666.754255.peg.2065	NAD kinase (EC 2.7.1.23)	KEGG_ENZYME:2.7.1.23
6666666.754255.peg.2066	GTP pyrophosphokinase (EC 2.7.6.5)	KEGG_ENZYME:2.7.6.5
6666666.754255.peg.2067	YjbH-like%2C GTP pyrophosphokinase domain	
6666666.754255.peg.2068	Oligoendopeptidase F	
6666666.754255.peg.2069	Competence protein CoiA	
6666666.754255.peg.2070	ClpCP protease substrate adapter protein MecA	
6666666.754255.peg.2071	Regulatory protein Spx	
6666666.754255.peg.2072	Metal-dependent hydrolases of the beta-lactamase superfamily III	
6666666.754255.peg.2073	unknown	
6666666.754255.peg.2074	FIG00745743: hypothetical protein	
6666666.754255.peg.2075	General stress protein 13	
6666666.754255.peg.2076	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	KEGG_ENZYME:5.2.1.8
6666666.754255.peg.2077	DedA protein	
6666666.754255.peg.2078	Integral membrane protein	
6666666.754255.peg.2079	Hypothetical NagD-like phosphatase	
6666666.754255.peg.2080	Hypothetical DUF1027 domain protein	
6666666.754255.peg.2081	5'-nucleotidase family protein in cluster with NagD-like phosphatase	
6666666.754255.peg.2082	Phosphoesterase	
6666666.754255.peg.2083	D-serine/D-alanine/glycine transporter	
6666666.754255.peg.2084	hypothetical protein	
6666666.754255.peg.2085	Acetate kinase (EC 2.7.2.1)	KEGG_ENZYME:2.7.2.1
6666666.754255.peg.2086	Adenine-specific methyltransferase (EC 2.1.1.72)	KEGG_ENZYME:2.1.1.72
6666666.754255.peg.2087	FIG00747119: hypothetical protein	
6666666.754255.peg.2088	Late competence protein ComGD%2C access of DNA to ComEA%2C FIG038316	
6666666.754255.peg.2089	Late competence protein ComGD%2C access of DNA to ComEA%2C FIG038316	
6666666.754255.peg.2090	Late competence protein ComGC%2C access of DNA to ComEA%2C FIG007487	
6666666.754255.peg.2091	Late competence protein ComGB%2C access of DNA to ComEA	
6666666.754255.peg.2092	Late competence protein ComGA%2C access of DNA to ComEA	
6666666.754255.peg.2093	Ribokinase (EC 2.7.1.15)	KEGG_ENZYME:2.7.1.15
6666666.754255.peg.2094	Probable transcriptional regulatory protein YebC	
6666666.754255.peg.2095	FIG00753157: hypothetical protein	
6666666.754255.peg.2096	hypothetical protein	
6666666.754255.peg.2097	Catabolite control protein A	
6666666.754255.peg.2098	hypothetical protein	
6666666.754255.peg.2099	Xaa-Pro dipeptidase (EC 3.4.13.9)	KEGG_ENZYME:3.4.13.9
6666666.754255.peg.2100	transcriptional regulator	
6666666.754255.peg.2101	FIG00743537: hypothetical protein	
6666666.754255.peg.2102	General stress protein	
6666666.754255.peg.2103	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel	
6666666.754255.peg.2104	N-acetyl-L%2CL-diaminopimelate deacetylase (EC 3.5.1.47)	KEGG_ENZYME:3.5.1.47
6666666.754255.peg.2105	2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	KEGG_ENZYME:2.3.1.89
6666666.754255.peg.2106	CBS domain protein	
6666666.754255.peg.2107	FIG009886: phosphoesterase	
6666666.754255.peg.2108	Nucleoside 5-triphosphatase RdgB (dHAPTP%2C dITP%2C XTP-specific) (EC 3.6.1.66)	KEGG_ENZYME:3.6.1.66
6666666.754255.peg.2109	Glutamate racemase (EC 5.1.1.3)	KEGG_ENZYME:5.1.1.3
6666666.754255.peg.2110	FIG008111: hypothetical protein	
6666666.754255.peg.2111	Thioredoxin	
6666666.754255.peg.2112	Recombination inhibitory protein MutS2	
6666666.754255.peg.2113	Glycerate kinase (EC 2.7.1.31)	KEGG_ENZYME:2.7.1.31
6666666.754255.peg.2114	UPF0473 protein YrzB	
6666666.754255.peg.2115	Putative pre-16S rRNA nuclease YqgF	
6666666.754255.peg.2116	UPF0297 protein YrzL	
6666666.754255.peg.2117	Alanyl-tRNA synthetase (EC 6.1.1.7)	KEGG_ENZYME:6.1.1.7
6666666.754255.peg.2118	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)	KEGG_ENZYME:3.6.4.13
6666666.754255.peg.2119	3'-to-5' oligoribonuclease A%2C Bacillus type	
6666666.754255.peg.2120	DNA polymerase IV (EC 2.7.7.7)	KEGG_ENZYME:2.7.7.7
6666666.754255.peg.2121	Protein translocase subunit YajC	
6666666.754255.peg.2122	Queuine tRNA-ribosyltransferase (EC 2.4.2.29)	KEGG_ENZYME:2.4.2.29
6666666.754255.peg.2123	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)	KEGG_ENZYME:2.4.99.17
6666666.754255.peg.2124	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	KEGG_ENZYME:3.6.4.12
6666666.754255.peg.2125	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	KEGG_ENZYME:3.6.4.12
6666666.754255.peg.2126	hypothetical protein	
6666666.754255.peg.2127	FIG00742804: hypothetical protein	
6666666.754255.peg.2128	FIG00742131: hypothetical protein	
6666666.754255.peg.2129	FIG00748966: hypothetical protein	
6666666.754255.peg.2130	hypothetical protein	
6666666.754255.peg.2131	hypothetical protein	
6666666.754255.peg.2132	DNA mismatch repair protein MutL	
6666666.754255.peg.2133	DNA mismatch repair protein MutS	
6666666.754255.peg.2134	2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase%2C Bsub YmdB	
6666666.754255.peg.2135	Ribonuclease Y	
6666666.754255.peg.2136	RecA protein	
6666666.754255.peg.2137	ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42)	KEGG_ENZYME:3.6.1.13,KEGG_ENZYME:3.5.1.42
6666666.754255.peg.2138	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	KEGG_ENZYME:2.7.8.5
6666666.754255.peg.2139	Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system	
6666666.754255.peg.2140	Uncharacterized zinc protease YmfH	
6666666.754255.peg.2141	FIG001621: Zinc protease	
6666666.754255.peg.2142	hypothetical protein	
6666666.754255.peg.2143	Aspartokinase (EC 2.7.2.4)	KEGG_ENZYME:2.7.2.4
6666666.754255.peg.2144	ABC transporter%2C substrate-binding protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.2145	ABC transporter%2C ATP-binding protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.2146	ABC transporter%2C permease protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.2147	Septum site-determining protein MinD	
6666666.754255.peg.2148	Septum site-determining protein MinC	
6666666.754255.peg.2149	Rod shape-determining protein MreD	
6666666.754255.peg.2150	Rod shape-determining protein MreC	
6666666.754255.peg.2151	Rod shape-determining protein MreB	
6666666.754255.peg.2152	UPF0758 family protein	
6666666.754255.peg.2153	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)	KEGG_ENZYME:6.3.2.12,KEGG_ENZYME:6.3.2.17
6666666.754255.peg.2154	Valyl-tRNA synthetase (EC 6.1.1.9)	KEGG_ENZYME:6.1.1.9
6666666.754255.peg.2155	Thiol peroxidase%2C Tpx-type (EC 1.11.1.15)	KEGG_ENZYME:1.11.1.15
6666666.754255.peg.2156	Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3)	KEGG_ENZYME:6.3.2.2,KEGG_ENZYME:6.3.2.3
6666666.754255.peg.2157	tRNA 4-thiouridine synthase (EC 2.8.1.4)	KEGG_ENZYME:2.8.1.4
6666666.754255.peg.2158	Cysteine desulfurase (EC 2.8.1.7)%2C associated with tRNA 4-thiouridine synthase	KEGG_ENZYME:2.8.1.7
6666666.754255.peg.2159	hypothetical protein	
6666666.754255.peg.2160	Septation ring formation regulator EzrA	
6666666.754255.peg.2161	Free methionine-(R)-sulfoxide reductase%2C contains GAF domain	
6666666.754255.peg.2162	SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e)%2C zinc-independent	
6666666.754255.peg.2163	DUF1054 superfamily protein	
6666666.754255.peg.2164	FIG00743012: hypothetical protein	
6666666.754255.peg.2165	integral membrane protein	
6666666.754255.peg.2166	Transcriptional regulator%2C ArsR family	
6666666.754255.peg.2167	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	KEGG_ENZYME:3.2.1.93
6666666.754255.peg.2168	PTS system%2C mannose-specific IIA component	
6666666.754255.peg.2169	PTS system%2C mannose/fructose/sorbose family%2C IID component	
6666666.754255.peg.2170	PTS system%2C mannose/fructose/sorbose family%2C IIC component	
6666666.754255.peg.2171	PTS system%2C mannose/fructose/sorbose family%2C IIB component	
6666666.754255.peg.2172	Maltose operon transcriptional repressor MalR%2C LacI family	
6666666.754255.peg.2173	Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3)	KEGG_ENZYME:6.3.2.2,KEGG_ENZYME:6.3.2.3
6666666.754255.peg.2174	Replication-associated recombination protein RarA	
6666666.754255.peg.2175	FIG00742610: hypothetical protein	
6666666.754255.peg.2176	Universal stress protein family	
6666666.754255.peg.2177	Beta-lactamase (EC 3.5.2.6)	KEGG_ENZYME:3.5.2.6
6666666.754255.peg.2178	Transcriptional regulator%2C xre family	
6666666.754255.peg.2179	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	KEGG_ENZYME:3.1.4.46
6666666.754255.peg.2180	D-alanine--D-alanine ligase (EC 6.3.2.4)	KEGG_ENZYME:6.3.2.4
6666666.754255.peg.2181	Zinc-type alcohol dehydrogenase-like protein	
6666666.754255.peg.2182	FIG00743432: hypothetical protein	
6666666.754255.peg.2183	L-lactate dehydrogenase (EC 1.1.1.27)	KEGG_ENZYME:1.1.1.27
6666666.754255.peg.2184	Methionine ABC transporter substrate-binding protein	
6666666.754255.peg.2185	Methionine ABC transporter permease protein	
6666666.754255.peg.2186	Methionine ABC transporter ATP-binding protein	
6666666.754255.peg.2187	glycine cleavage system%2C H protein	
6666666.754255.peg.2188	Rod shape-determining protein RodA	
6666666.754255.peg.2189	FIG00742815: hypothetical protein	
6666666.754255.peg.2190	Protein YidD	
6666666.754255.peg.2191	Rod shape-determining protein MreB	
6666666.754255.peg.2192	Ribosomal-protein-L7p-serine acetyltransferase	
6666666.754255.peg.2193	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	KEGG_ENZYME:2.5.1.7
6666666.754255.peg.2194	hypothetical protein	
6666666.754255.peg.2195	ATP synthase epsilon chain (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2196	ATP synthase beta chain (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2197	ATP synthase gamma chain (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2198	ATP synthase alpha chain (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2199	ATP synthase delta chain (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2200	ATP synthase F0 sector subunit b (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2201	ATP synthase F0 sector subunit c (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2202	ATP synthase F0 sector subunit a (EC 3.6.3.14)	KEGG_ENZYME:3.6.3.14
6666666.754255.peg.2203	Uracil permease @ Uracil:proton symporter UraA	
6666666.754255.peg.2204	FIG00752350: hypothetical protein	
6666666.754255.peg.2205	Uracil phosphoribosyltransferase (EC 2.4.2.9)	KEGG_ENZYME:2.4.2.9
6666666.754255.peg.2206	Serine hydroxymethyltransferase (EC 2.1.2.1)	KEGG_ENZYME:2.1.2.1
6666666.754255.peg.2207	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) / SUA5 domain with internal deletion	KEGG_ENZYME:2.7.7.87
6666666.754255.peg.2208	Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)	KEGG_ENZYME:2.1.1.297
6666666.754255.peg.2209	Peptide chain release factor 1	
6666666.754255.peg.2210	Thymidine kinase (EC 2.7.1.21)	KEGG_ENZYME:2.7.1.21
6666666.754255.peg.2211	proposed amino acid ligase found clustered with an amidotransferase	
6666666.754255.peg.2212	Putative amidotransferase similar to cobyric acid synthase	
6666666.754255.peg.2213	Mannose-6-phosphate isomerase (EC 5.3.1.8)	KEGG_ENZYME:5.3.1.8
6666666.754255.peg.2214	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	
6666666.754255.peg.2215	hypothetical protein	
6666666.754255.peg.2216	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	KEGG_ENZYME:2.6.1.42
6666666.754255.peg.2217	FIG00742955: hypothetical protein	
6666666.754255.peg.2218	Transposase%2C IS4 family	
6666666.754255.peg.2219	lipoprotein precursor	
6666666.754255.peg.2220	Efflux ABC transporter%2C permease/ATP-binding protein EF2592	
6666666.754255.peg.2221	Efflux ABC transporter%2C permease/ATP-binding protein EF2593	
6666666.754255.peg.2222	FIG00753207: hypothetical protein	
6666666.754255.peg.2223	Polysaccharide deacetylase%2C Carbohydrate Esterase Family 4	
6666666.754255.peg.2224	hypothetical protein	
6666666.754255.peg.2225	prophage Lp3 protein 24	
6666666.754255.peg.2226	hypothetical protein	
6666666.754255.peg.2227	FIG00746198: hypothetical protein	
6666666.754255.peg.2228	Transcriptional regulator	
6666666.754255.peg.2229	LepB	
6666666.754255.peg.2230	hypothetical protein	
6666666.754255.peg.2231	hypothetical protein	
6666666.754255.peg.2232	hypothetical protein	
6666666.754255.peg.2233	hypothetical protein	
6666666.754255.peg.2234	hypothetical protein	
6666666.754255.peg.2235	hypothetical protein	
6666666.754255.peg.2236	hypothetical protein	
6666666.754255.peg.2237	hypothetical protein	
6666666.754255.peg.2238	FIG00749522: hypothetical protein	
